epoch,train_loss,precision,recall,f1,iou,oa,lr
1,0.691859,0.281546,0.672267,0.396879,0.247567,0.843311,1.00e-03
2,0.528368,0.366283,0.621216,0.460843,0.299413,0.888531,1.00e-03
3,0.455372,0.436912,0.529342,0.478706,0.314670,0.911590,1.00e-03
4,0.447313,0.513707,0.496776,0.505100,0.337882,0.925346,1.00e-03
5,0.414375,0.320685,0.703779,0.440604,0.282548,0.862957,1.00e-03
6,0.391162,0.274402,0.730319,0.398919,0.249156,0.831224,1.00e-03
7,0.385021,0.475198,0.560711,0.514425,0.346280,0.918825,1.00e-03
8,0.386092,0.354559,0.660325,0.461381,0.299867,0.881769,1.00e-03
9,0.383093,0.409029,0.656210,0.503941,0.336846,0.900929,1.00e-03
10,0.364284,0.358673,0.656879,0.463994,0.302078,0.883616,1.00e-03
11,0.354420,0.430138,0.628553,0.510752,0.342960,0.907656,1.00e-03
12,0.340187,0.499288,0.612294,0.550047,0.379355,0.923179,1.00e-03
13,0.337751,0.352076,0.714974,0.471816,0.308743,0.877241,1.00e-03
14,0.363802,0.322004,0.764456,0.453138,0.292940,0.858502,1.00e-03
15,0.333397,0.462707,0.651044,0.540952,0.370757,0.915265,5.00e-04
16,0.335030,0.458658,0.648811,0.537410,0.367437,0.914344,5.00e-04
17,0.319534,0.492218,0.634217,0.554268,0.383382,0.921775,5.00e-04
18,0.326531,0.429567,0.681961,0.527108,0.357873,0.906164,5.00e-04
19,0.337798,0.512346,0.633870,0.566666,0.395348,0.925656,5.00e-04
20,0.312660,0.502538,0.626372,0.557663,0.386639,0.923798,5.00e-04
21,0.330569,0.392390,0.708501,0.505061,0.337848,0.893513,5.00e-04
22,0.324195,0.388184,0.756225,0.513024,0.345011,0.889904,5.00e-04
23,0.325600,0.336172,0.784196,0.470604,0.307706,0.864699,5.00e-04
24,0.327704,0.444982,0.694392,0.542389,0.372108,0.910145,5.00e-04
25,0.330378,0.412701,0.719491,0.524531,0.355501,0.899971,5.00e-04
26,0.326595,0.490450,0.630582,0.551758,0.380984,0.921430,5.00e-04
27,0.317171,0.452594,0.682037,0.544117,0.373736,0.912357,5.00e-04
28,0.348590,0.399760,0.746300,0.520637,0.351934,0.894612,5.00e-04
29,0.317171,0.403366,0.726681,0.518772,0.350231,0.896613,5.00e-04
30,0.324573,0.353108,0.795386,0.489088,0.323704,0.872566,2.50e-04
31,0.301889,0.410746,0.759996,0.533278,0.363585,0.897985,2.50e-04
32,0.311259,0.389523,0.781258,0.519854,0.351218,0.889328,2.50e-04
33,0.312177,0.442284,0.748367,0.555983,0.385025,0.908335,2.50e-04
34,0.309287,0.417307,0.753597,0.537160,0.367203,0.900410,2.50e-04
35,0.311980,0.419916,0.763516,0.541835,0.371587,0.900980,2.50e-04
36,0.328420,0.391359,0.732629,0.510185,0.342449,0.892121,2.50e-04
37,0.315002,0.432709,0.723368,0.541500,0.371272,0.906060,2.50e-04
38,0.312746,0.440552,0.739395,0.552130,0.381339,0.908011,2.50e-04
39,0.299572,0.402381,0.761873,0.526626,0.357428,0.894965,2.50e-04
40,0.298054,0.341164,0.817294,0.481384,0.316988,0.864953,2.50e-04
41,0.304315,0.473967,0.708534,0.567985,0.396634,0.917344,2.50e-04
42,0.302264,0.459114,0.717174,0.559836,0.388731,0.913518,2.50e-04
43,0.289539,0.454614,0.695545,0.549845,0.379163,0.912663,2.50e-04
44,0.307971,0.372505,0.768284,0.501740,0.334882,0.882983,2.50e-04
45,0.296289,0.384596,0.785089,0.516279,0.347963,0.887182,1.25e-04
46,0.295051,0.450855,0.743431,0.561305,0.390149,0.910884,1.25e-04
47,0.284363,0.399345,0.749615,0.521088,0.352346,0.894335,1.25e-04
48,0.283183,0.411294,0.744076,0.529759,0.360321,0.898700,1.25e-04
49,0.287191,0.410405,0.748724,0.530192,0.360722,0.898244,1.25e-04
50,0.267390,0.486052,0.698337,0.573170,0.401709,0.920240,1.25e-04
