epoch,train_loss,precision,recall,f1,iou,oa,lr
1,0.615533,0.241916,0.352959,0.287073,0.167592,0.865561,1.00e-03
2,0.567717,0.294431,0.430220,0.349603,0.211830,0.877244,1.00e-03
3,0.538643,0.219795,0.540089,0.312439,0.185143,0.817711,1.00e-03
4,0.528024,0.363067,0.538278,0.433643,0.276848,0.892176,1.00e-03
5,0.460782,0.400840,0.572923,0.471676,0.308623,0.901576,1.00e-03
6,0.482291,0.373055,0.469209,0.415643,0.262342,0.898825,1.00e-03
7,0.485921,0.374137,0.605009,0.462355,0.300690,0.892097,1.00e-03
8,0.475057,0.312960,0.648789,0.422241,0.267621,0.863843,1.00e-03
9,0.474987,0.276756,0.624551,0.383550,0.237279,0.846045,1.00e-03
10,0.476572,0.275180,0.602306,0.377767,0.232869,0.847842,1.00e-03
11,0.462210,0.346253,0.612025,0.442284,0.283931,0.881633,1.00e-03
12,0.457702,0.358742,0.658884,0.464550,0.302550,0.883522,1.00e-03
13,0.448119,0.327307,0.616014,0.427481,0.271844,0.873464,1.00e-03
14,0.455305,0.293669,0.630996,0.400802,0.250627,0.855317,1.00e-03
15,0.449703,0.415515,0.601258,0.491421,0.325751,0.904563,5.00e-04
16,0.447210,0.363297,0.570470,0.443901,0.285265,0.890390,5.00e-04
17,0.454994,0.392035,0.557169,0.460238,0.298902,0.899779,5.00e-04
18,0.413022,0.333521,0.575043,0.422180,0.267572,0.879289,5.00e-04
19,0.413811,0.352972,0.643389,0.455855,0.295215,0.882209,5.00e-04
20,0.431009,0.362941,0.684607,0.474387,0.310949,0.883661,5.00e-04
21,0.446780,0.384249,0.668266,0.487937,0.322696,0.892438,5.00e-04
22,0.419665,0.399015,0.627960,0.487968,0.322723,0.898938,5.00e-04
23,0.435187,0.377605,0.642791,0.475739,0.312111,0.891358,5.00e-04
24,0.453402,0.360181,0.632628,0.459022,0.297877,0.885648,5.00e-04
25,0.408989,0.414591,0.617440,0.496081,0.329859,0.903805,5.00e-04
26,0.398259,0.382219,0.660002,0.484092,0.319341,0.892120,5.00e-04
27,0.400374,0.389833,0.644557,0.485832,0.320857,0.895376,5.00e-04
28,0.434544,0.423277,0.588157,0.492278,0.326505,0.906962,5.00e-04
29,0.444939,0.424591,0.574114,0.488160,0.322891,0.907675,5.00e-04
30,0.422191,0.370476,0.675117,0.478417,0.314420,0.887112,2.50e-04
31,0.408030,0.373100,0.667387,0.478626,0.314601,0.888499,2.50e-04
32,0.396748,0.395350,0.685077,0.501367,0.334549,0.895500,2.50e-04
33,0.426123,0.414555,0.651781,0.506780,0.339387,0.902709,2.50e-04
34,0.410915,0.367303,0.653432,0.470264,0.307415,0.887107,2.50e-04
35,0.395026,0.369524,0.658109,0.473296,0.310011,0.887674,2.50e-04
36,0.398133,0.389146,0.670567,0.492489,0.326690,0.894016,2.50e-04
37,0.423754,0.379268,0.681005,0.487202,0.322054,0.890065,2.50e-04
38,0.419883,0.410803,0.627602,0.496571,0.330292,0.902413,2.50e-04
39,0.417105,0.366651,0.665208,0.472738,0.309533,0.886207,2.50e-04
40,0.401555,0.377222,0.664933,0.481363,0.316970,0.890120,2.50e-04
41,0.418176,0.398058,0.668648,0.499033,0.332474,0.897050,2.50e-04
42,0.411149,0.387288,0.688159,0.495637,0.329467,0.892597,2.50e-04
43,0.387662,0.397898,0.673745,0.500319,0.333617,0.896797,2.50e-04
44,0.437517,0.380009,0.684646,0.488744,0.323402,0.890157,2.50e-04
45,0.388956,0.411294,0.669695,0.509610,0.341931,0.901161,1.25e-04
46,0.396901,0.389492,0.688078,0.497417,0.331042,0.893371,1.25e-04
47,0.427149,0.407893,0.663510,0.505208,0.337979,0.900333,1.25e-04
48,0.414510,0.363619,0.700805,0.478805,0.314756,0.882999,1.25e-04
49,0.414578,0.368250,0.693287,0.481006,0.316661,0.885271,1.25e-04
50,0.410435,0.375131,0.676539,0.482644,0.318082,0.888774,1.25e-04
